incorrect,correct
0 නුබ බත් කින් ගදර වේගයෙන් යවමු,0 නුබ බත් කමින් ගෙදර වේගයෙන් යවමු
0 නුබ ් කමින් ගෙදර වේගයෙන් යවයි,0 නුබ බත් කමින් ගෙදර වේගයෙන් යවයි
1 නුබ බත් කමින් ගෙදර වේගයේන යවිහ,1 නුබ බත් කමින් ගෙදර වේගයෙන් යවහි
0 නුබ බත් කිමන් ගෙදර වේගයෙන් යවහු,0 නුබ බත් කමින් ගෙදර වේගයෙන් යවහු
0 ුනබ බත් කමින් ගෙදර ේගයෙන් යවු,0 නුබ බත් කමින් ගෙදර වේගයෙන් යවු
1 නුබ බත් කමින් ෙගදර වේගයෙන් යිහ,1 නුබ බත් කමින් ගෙදර වේගයෙන් යහි
1 නුබ තබ් කමින් ගෙදර වේගයෙන් යහිවා,1 නුබ බත් කමින් ගෙදර වේගයෙන් යහිවා
0 නුබ ත් කමින් ගෙදර වේගයෙන් යහු,0 නුබ බත් කමින් ගෙදර වේගයෙන් යහු
0 නුබ බත් කමින් ගෙදර වේයෙන් යහුවා,0 නුබ බත් කමින් ගෙදර වේගයෙන් යහුවා
0 නුබ බත කමින් ගෙදර වේගයෙන් යනලදී,0 නුබ බත් කමින් ගෙදර වේගයෙන් යනලදී
0 නබ බත් කමන් ගෙදර වේගයෙන් ගියෙමි,0 නුබ බත් කමින් ගෙදර වේගයෙන් ගියෙමි
0 නුබ බත කමින් ගෙදර වේගයෙන් ගියෙමු,0 නුබ බත් කමින් ගෙදර වේගයෙන් ගියෙමු
1 නුබ බ්ත කමින් ගෙදර වේගයෙන් ගියෙහි,1 නුබ බත් කමින් ගෙදර වේගයෙන් ගියෙහි
0 නුබ බත් කමින් ගෙදර වේගයනේ ගියෙහු,0 නුබ බත් කමින් ගෙදර වේගයෙන් ගියෙහු
0 නුබ බත් කමින් ගෙරද වේගයේ ගියාය,0 නුබ බත් කමින් ගෙදර වේගයෙන් ගියාය
0 නුබ බත් මකින් ගෙදර වේගයෙන් ගියේය,0 නුබ බත් කමින් ගෙදර වේගයෙන් ගියේය
0 නුබ තබ් කමින් ගෙදර වේගයෙන් ගියෝය,0 නුබ බත් කමින් ගෙදර වේගයෙන් ගියෝය
0 නුබ බත් කමින් ගදර වේගයෙන් යැවේ,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවේ
0 නුබ බත කමින් ගෙදර වේගයෙන් යැවෙමි,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙමි
0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙමු,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙමු
0 නුබ බ් කමින් ගෙදර වේගයෙන් යැවෙහි,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙහි
0 නුබ බත් කමින් ගෙදර වේගයෙන් ැවෙහු,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙහු
0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙිය,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙයි
0 නුබ බත් කමි්න ගෙරද වේගයෙන් යැවෙති,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවෙති
0 නුබ බත් කමින් ගෙදර වේගයනේ යැවවෙයි,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවවෙයි
0 නුබ තබ් කමින් ගෙදර වේගෙයන් යැවවෙති,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවවෙති
0 නුබ බත් කමි් ගෙදර වේගයෙන් යැවවේ,0 නුබ බත් කමින් ගෙදර වේගයෙන් යැවවේ
0 ුබලා බත් කමින් ගෙදර වේගයෙන් යති,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යති
0 නුබලා බත් කමින් ෙදර වේගයෙන් ය්වා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යත්වා
0 නුබලා බත් කමන් ගෙදර වේගයෙන් යනවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යනවා
1 නුලා බත් කමින් ගෙදර වේගයෙන් යනවාලා,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යනවාලා
0 නුබලා බ්ත කමින් ෙගදර වේගයෙන් යනු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යනු
0 නුබලා බත් මින් ගෙදර වේගයෙන් යන්න,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්න
0 නුබලා බ්ත කමින් ගෙදර වේගයෙන් යන්නී,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නීය
0 නුබලා ත් කමින් ගෙදර වේගයෙන් යන්නෙමි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙමි
0 නුබලා බත් කමින් ගෙදර වගයෙන් යන්නෙමිවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙමිවා
0 නුබලා බත් මකින් ගෙදර වේගයෙන් නය්නෙමු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙමු
0 නබුලා බත් කමින් ගෙදර වේගයෙන් යන්නෙමුවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙමුවා
0 නුබලා බත කමින් ගෙදර වේගයෙන් යන්නෙහි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙහි
0 නබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙහිවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෙහිවා
0 නබුලා බත් කමින් ගෙදර වේගයේ යන්නේය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නේය
0 නුබලා බත් කමින ෙගදර වේගයෙන් යන්නෝය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යන්නෝය
0 නුබලා බත් කමින් ෙගදර වේගයෙන් යමි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යමි
0 නුබලා බත් කමින් ගෙර වේගයෙන් යමිවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යමිවා
0 නබුලා බත් කමින් ගෙදර වේගයෙන් යමු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යමු
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යමුවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යමුවා
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යයි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යයි
0 නුබලා බත් කමින් ගෙදර වේගයෙන් ය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යව
0 නුබලා බත් කමින් ගෙදර වේගයෙන යවති,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවති
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නීය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නීය
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නෙමි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නෙමි
0 නුබලා බත කමින් ගෙදර වේගයෙන් යවන්නෙමු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නෙමු
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවනනහි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නෙහි
1 නුබල ත් කමින් ගෙදර වේගයෙන් යවන්නෙහු,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නෙහු
0 නුබලා බත් කමින් ගෙරද වේගයෙන් යවන්නේය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නේය
0 නුබාල ත් කමින් ගෙදර වේගයෙන් යවන්නෝය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවන්නෝය
0 ුනබලා බත් කමින් ගදෙර වේගයෙන් යවමි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවමි
0 නුබලා බත් කමින් ෙගදර වේගයෙන් යවමු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවමු
0 නුබලා බත් කමින ගෙදර වේගයෙන් යවයි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවයි
0 නබලා බත් කමින් ගෙදර වේගයෙන් යවහි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යවහි
1 නුබලා බත් මකින් ගෙදර වේගයෙන් යවහු,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යවහු
1 නුබලා බත් කමින් ගෙදර වේගයෙන් වයු,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යවු
0 නුබල බත් කමින් ගෙදර වේගයෙන් යහි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යහි
0 නුබලා බත කමින් ගෙදර වේගෙයන් යහිවා,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යහිවා
1 නුබලා බත් කමින් ගෙදර වේගයෙන් යහු,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යහු
1 නුබලා බත් කමනි් ගෙදර වේගයෙන් යහුවා,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යහුවා
0 නුබලා බත් කමින් ගෙදර වේයගෙන් යනලදී,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යනලදී
0 ුනබලා බත් කමින් ගෙදර වේගයෙන් ගියෙමි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියෙමි
0 නුබලා බත් කිමන් ගෙදර ේගයෙන් ගියෙමු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියෙමු
0 නුබලා බත කමනි් ගෙදර වේගයෙන් ගියෙහි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියෙහි
1 නුබලා බත් කමින් ගෙදර වේගයේ ගියෙහු,1 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියෙහු
0 නුබලා බත් කමින් ගෙරද වේගයෙන් ගියාය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියාය
0 නුබලා ත් කමින් ගෙදර වේගයෙන් ගියේය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියේය
0 නුබලා බත් කමින් ෙගදර වේගයෙන් ගියෝය,0 නුබලා බත් කමින් ගෙදර වේගයෙන් ගියෝය
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවේ,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවේ
0 නුලබා බත් කමින් ගෙදර වේගයන් යැවෙමි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙමි
0 නුබලා බත් මකින් ගෙදර වේගයෙන් යැවෙු,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙමු
1 නුබලා බත් කමින් ගෙදර වේගයෙන් ැයවෙහි,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙහි
1 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙහු,1 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙහු
0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙයි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙයි
0 නුබාල බත් කමි්න ගෙදර වේගයෙන් යැවෙති,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවෙති
0 නුබලා බත් කමින් ගදෙර වේගයෙන් යැවවෙයි,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවවෙයි
0 නබලා තබ් කමින් ගෙදර වේගයෙන් යැවවෙති,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවවෙති
0 නුබලා බත් කින් ගෙදර වේගයෙන් යැවේව,0 නුබලා බත් කමින් ගෙදර වේගයෙන් යැවවේ
0 ළයා බත කමින් ගෙදර වේගයෙන් යති,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යති
1 ළමයා බත් කමන් ගෙදර වේගයෙන් යත්වා,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යත්වා
0 ළමයා බත් කමින් ගෙදර වේගයෙන් යනවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යනවා
0 ළමයා බත් කමින් ගෙදර වේගයේන යනවාලා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යනවාලා
0 ළමයා බත් කමින් ගෙදර වේගයෙන් යනු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යනු
0 ළයා බත් කමින් ගෙදර වේගයෙන් යන්න,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්න
1 ළමයා බත් කමින් ගෙද වේගයෙන් යන්නීය,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නීය
0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙමි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙමි
0 ළමයා බත් කමින් ගදෙර වේගයෙන් න්නෙමිවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙමිවා
0 ළමාය බත් කමින් ගෙදර වේගයෙන් යන්නෙමු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙමු
0 ළමයා බත් කමින් ගදෙර වේගයේන යන්නෙමුවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙමුවා
0 ළමා බත් කමින් ගෙද වේගයෙන් යන්නෙහි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙහි
0 ළයමා බත් කමින් ගෙදර වේගයෙන් ය්නනෙහිවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෙහිවා
1 ළමයා බත් කිමන් ගෙදර වේගයෙන් න්නේය,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නේය
0 ළයා බත් කමින් ගෙදර වේගයෙන් යන්නෝය,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යන්නෝය
0 ළමාය බත් කමින් ගෙදර වේගයෙන් මයි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යමි
0 ළමයා තබ් කමින් ගෙදර වේගයෙන් යමිවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යමිවා
0 ළයමා බත් කමින ගෙදර වේගයෙන් යමු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යමු
0 ළමයා බත් කමනි් ගෙදර වේගයෙන් යමුවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යමුවා
1 ළමයා ්බ කමින් ගෙදර වේගයෙන් යයි,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යයි
0 ළමයා බත් කමින් ගෙදර වේගයෙන් යව,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යව
0 ළමයා බත් කමින ගෙදර වේගයෙන් යවති,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවති
1 ළමයා ත් මකින් ගෙදර වේගයෙන් යවන්නීය,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නීය
0 ළමා බත් කමින් ෙදර වේගයෙන් යවන්නෙමි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නෙමි
0 ළමයා බත් කමින් ගදෙර වේගයෙන් යවන්නෙමු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නෙමු
0 ළමය බත් කමින් ගදෙර වේගයෙන් යවන්නෙහි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නෙහි
0 ළමයා බත් කමින් ගෙදර වේගයන් යවන්නෙහු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නෙහු
1 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්ය,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නේය
0 ළමයා බත් කමන් ගෙදර වේගයෙන් යවන්නෝය,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවන්නෝය
0 ළමයා ත් කමින් ගෙදර වේගයෙන් යමි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවමි
0 ළමාය බත් කමින් ගෙදර වේගයෙන් යවමු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවමු
1 ළමාය බත් කමින් ගෙදර වේගයෙන් යවයි,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යවයි
0 මයා බත් කමින් ගෙදර ේගයෙන් යවහි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවහි
0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවහු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවහු
0 ළමයා බත් කමින් ගදෙර වේගයෙන් යවු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යවු
0 ළමයා බත් කමින් ගෙදර ේගයෙන් යහි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යහි
0 ළමයා බත් කමින් ෙගදර වේගයෙන් යහිවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යහිවා
0 ළමයා බත් කමින් ෙදර වේගයෙන් යුහ,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යහු
0 ළමයා බත් කමින් ගදෙර වේගයෙන් යහුවා,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යහුවා
0 ළමයා බත් කමින් ගෙද වේගයෙන් නයලදී,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යනලදී
0 ළමයා බත් කමින් ගෙදර වේයෙන් ගියෙමි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෙමි
0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෙමු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෙමු
0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියහෙි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෙහි
0 ළමයා බ් කමි්න ගෙදර වේගයෙන් ගියෙහු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෙහු
1 ළමයා බත් කමින් ෙගදර වගයෙන් ගියාය,1 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියාය
1 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියය,1 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියේය
0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෝය,0 ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෝය
1 ළමයා බත් මින් ගෙදර වේගයෙන් යැවේ,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවේ
0 ළමයා බත් කමන් ගෙදර වේගයෙන් යැවෙමි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙමි
0 ළමාය බ්ත කමින් ගෙදර වේගයෙන් යැවෙමු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙමු
0 ළමයා බත් කමනි් ගෙද වේගයෙන් යැවෙහි,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙහි
0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙහු,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙහු
1 ළමයා තබ් කමින් ගෙදර වේගයෙන් යැවෙයි,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙයි
0 ළමයා බ්ත කමින් ගදෙර වේගයෙන් යැවෙති,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවෙති
1 මළයා බත් කමින් ගෙරද වේගයෙන් යැවවෙයි,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවවෙයි
0 ළමයා බත් කමි්න ෙගදර වේගයෙන් යැවවෙති,0 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවවෙති
1 ළමයා බත් කමින් ගෙර වේගයෙන් යැවවේ,1 ළමයා බත් කමින් ගෙදර වේගයෙන් යැවවේ
1 ළමයි බ්ත කමින් ගෙදර වේගයෙන් යති,1 ළමයි බත් කමින් ගෙදර වේගයෙන් යති
0 ළමයි බත කමින් ගෙදර වේගයෙන් යත්වා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යත්වා
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යනව,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යනවා
0 ළමයි බත් මින් ගෙදර වේගයෙන් යනවාලා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යනවාලා
0 ළමිය බත් කමින් ගෙරද වේගයෙන් යනු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යනු
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්න,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්න
0 ළමයි බත් මකින් ගෙදර වේගයෙන් යන්නීය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නීය
0 ළමයි බත් කමින් ගෙදර වගයෙන් ය්නනෙමි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙමි
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙමිවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙමිවා
0 ළමයි බත් කමින් ගෙදර වේගයෙන් ය්නෙනමු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙමු
0 ළමයි බත් කමින් ගෙදර ේගයෙන් යන්නෙමුවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙමුවා
0 ළමයි බත් කමින් ෙදර වේගයෙන් නය්නෙහි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙහි
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙහිවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෙහිවා
0 ළමයි බත් කමි් ගෙදර වේගයෙන් යන්නේය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නේය
1 ළමයි බත් කමින් ගෙද වේගයෙන් යන්ෝය,1 ළමයි බත් කමින් ගෙදර වේගයෙන් යන්නෝය
0 ළමයි බත් කමි්න ගෙදර වේගයෙන් යමි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යමි
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යමිවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යමිවා
0 ළමයි බත් කමන් ගෙදර වේගයෙන් යමු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යමු
0 මයි බත් කමින් ගෙදර වේගයෙන් යමුවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යමුවා
0 ළමයි බත් කිමන් ගෙදර වේගයෙන් යයි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යයි
0 ළමයි බත් කමින් ගෙදර වේගයෙන් වය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යව
1 ළමයි බත් කමින් ගදර වේගයෙන් යවති,1 ළමයි බත් කමින් ගෙදර වේගයෙන් යවති
0 ළයමි බත් කමනි් ගෙදර වේගයෙන් යවන්නීය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නීය
0 ළමයි බත් කමින් ගදර වේගයෙන් යවන්නෙමි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෙමි
0 ළමයි බත් මින් ගෙදර වේගයෙන් යවන්නෙුම,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෙමු
0 ළමයි බත් කමින් ගෙරද වේගයෙන් යවන්නෙහි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෙහි
0 මළයි බත් කමින් ගෙදර වේගයෙන් යවන්නෙහු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෙහු
0 ළමයි බත් කමින් ගෙදර වේගෙයන් යවන්නේය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නේය
1 ළමයි බත් කමනි් ගෙදර වේගයෙන් යවන්නෝය,1 ළමයි බත් කමින් ගෙදර වේගයෙන් යවන්නෝය
0 ළමයි බත් කමනි් ගෙද වේගයෙන් යවමි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවමි
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවම,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවමු
0 ළමයි බත් කමින් ගෙදර වේයගෙන් යවයි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවයි
0 මයි බත් කමින් ගෙදර වේගයෙන් යවහි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවහි
0 ළමයි බත් කමන් ගෙදර වගයෙන් යවහු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවහු
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යවු
0 ළමයි බත් කමින් ගෙදර වේගෙයන් යහි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යහි
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යහිවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යහිවා
0 ළමයි බත් කමින් ගෙදර වේගයේන යහු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යහු
0 ළමයි බත් කමි්න ගෙදර වේගයෙන් යහුවා,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යහුවා
0 ළයි බත් කමි්න ගෙදර වේගයෙන් යනලදී,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යනලදී
0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගිෙයමි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියෙමි
0 ළමයි බත් කමි් ගෙදර වේගයෙන් ගියෙමු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියෙමු
0 ළයි බත් කමින් ගෙදර වේගයෙන් ගියෙහි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියෙහි
0 ළමයි බත් කමන් ගෙදර වේගයෙන් ගියෙහු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියෙහු
0 ළමයි බ්ත කමින් ගෙදර වේගයෙන් ගියාය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියාය
0 ළමයි බත් කමින් ගෙදර වේගයේ ගියේය,0 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියේය
1 ළමය බත් කමි්න ගෙදර වේගයෙන් ගියෝය,1 ළමයි බත් කමින් ගෙදර වේගයෙන් ගියෝය
0 ළමයි තබ් කමින් ගෙරද වේගයෙන් යැවේ,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවේ
0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙමි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙමි
0 ළමයි බත් මකින් ගෙදර වේගයේන යැවෙමු,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙමු
0 ළමි බත් කමින් ගෙදර වේගයෙන් යැවෙහි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙහි
0 ළමයි බත් කමින් ගෙරද වේගයෙන් යැවෙුහ,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙහු
0 ළමයි බත් කමින් ගදෙර වේගයෙන් යැවයි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙයි
1 ළමයි ත් කමින් ගෙදර වේගයෙන් යැවෙත,1 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවෙති
0 ළමයි බත් කිමන් ගෙදර වේගයෙන් යවැවෙයි,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවවෙයි
1 මළයි බ්ත කමින් ගෙදර වේගයෙන් යැවවෙති,1 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවවෙති
0 ළමයි බත් කමි් ගෙදර වේගයෙන් යැවවේ,0 ළමයි බත් කමින් ගෙදර වේගයෙන් යැවවේ
0 වාහනය බ් කමින් ගෙදර වේගයෙන් යති,0 වාහනය බත් කමින් ගෙදර වේගයෙන් යති
1 වාහනය බත් කමින ගෙදර වේගයෙන් යත්වා,1 වාහනය බත් කමින් ගෙදර වේගයෙන් යත්වා
0 වාහනය බත් කමින් ගෙදර වේගෙයන් යවා,0 වාහනය බත් කමින් ගෙදර වේගයෙන් යනවා
0 වාහනය බත් කමින් ගෙදර වේගයෙන් නයවාලා,0 වාහනය බත් කමින් ගෙදර වේගයෙන් යනවාලා
